filename
"[-3.15539520e+02  1.00019875e+02  2.76576118e+01  4.14865570e+01
 -2.79890118e+01 -2.08660316e+00  5.21236992e+00 -1.34380894e+01
 -4.70572567e+00 -7.99817324e-01 -6.13295269e+00 -3.68371224e+00
 -2.99161315e+00  1.26817955e+02  7.26410217e+01  4.24969063e+01
  3.52109299e+01  3.80053101e+01  2.30812054e+01  1.56628323e+01
  1.91432381e+01  1.59899759e+01  1.59400854e+01  1.26111403e+01
  1.05543976e+01  1.43788624e+01 -4.15116429e-01 -4.21056822e-02
  1.63830429e-01 -8.45461339e-02  5.56773990e-02 -8.64696875e-02
 -1.70279127e-02  3.21154483e-02  8.03630892e-03 -4.95565310e-02
  1.90092791e-02  3.01971603e-02 -2.13027844e-04  1.87963276e+01
  1.59638700e+01  7.30268431e+00  6.86024857e+00  7.41144753e+00
  5.00259209e+00  2.51604104e+00  3.18611431e+00  2.71731663e+00
  2.63454700e+00  2.37422729e+00  2.12204289e+00  2.43066072e+00
  5.16194642e-01  4.79050696e-01  4.09798592e-01  3.89746487e-01
  4.03553426e-01  4.44197088e-01  4.41079140e-01  3.93658817e-01
  4.31557447e-01  4.97287005e-01  4.99688387e-01  4.85795736e-01
  3.95567834e-01  3.75329018e-01  3.57426822e-01  3.46163481e-01
  3.40436637e-01  3.29038888e-01  3.35345358e-01  3.29059303e-01
  3.64261389e-01  3.78208071e-01  3.89328599e-01  3.82808924e-01
  7.74341154e+00 -2.95545082e+01 -2.56306496e+01 -1.69405956e+01
 -7.10896111e+00 -4.86021852e+00 -7.18149614e+00 -1.06946154e+01
 -1.14222651e+01 -1.05920734e+01 -9.56201363e+00 -9.49747849e+00
 -1.00380640e+01 -7.61262178e+00 -6.61064053e+00 -1.02189236e+01
 -1.11293240e+01 -1.06013479e+01 -1.03898258e+01 -1.10251551e+01
 -1.21164103e+01 -1.28562231e+01 -1.34144869e+01 -1.53190536e+01
 -1.68143902e+01 -1.68523674e+01 -1.71009769e+01 -1.75052872e+01
 -1.79850368e+01 -1.87210426e+01 -1.98935242e+01 -2.07561398e+01
